stock price.x
10 2.013
10 2.162
10 1.474
10 1.446
10 1.014
10 2.184
11 1.063
11 1.662
11 1.539
11 1.406
11 1.306
11 0.965
11 0.207
11 1.15
9 3.529
9 3.231
9 2.73
9 2.345
9 1.483
9 1.341
8 1.16
8 3.716
8 3.342
8 2.868
8 2.517
8 1.634
8 1.526
28 3.146
19 1.021
19 0.61
19 4.035
19 0.606
19 1.559
18 1.154
18 0.651
18 1.076
21 0.906
21 0.939
21 0.661
21 0.89
21 0.368
21 0.623
12 2.108
12 1.592
12 1.103
12 0.731
12 0.849
4 0.173
4 0.399
4 0.635
4 0.639
4 0.502
4 0.458
4 0.17
4 0.168
3 0.242
3 0.748
3 0.748
3 0.748
3 0.548
3 0.121
3 0.664
2 0.942
2 0.774
2 0.459
2 0.638
20 7.665
20 5.89
20 3.505
30 0.272
30 0.242
30 0.276
30 0.165
29 0.355
1 9.383
1 11.957
1 8.767
1 0.632
1 7.67
0 8.239
24 3.833
24 0.772
24 0.772
24 0.769
24 0.769
24 1.836
23 2.554
23 3.009
23 2.541
23 1.601
23 1.964
22 1.502
22 1.573
22 1.513
22 1.245
22 1.536
15 2.269
15 2.113
15 2.157
15 1.319
26 12.707
26 12.705
26 8.352
26 12.399
25 14.533
25 14.074
25 13.248
25 9.243
25 7.566
25 7.537
25 10.935
7 0.173
7 0.235
7 0.255
7 0.205
7 0.121
7 0.225
6 0.236
6 1.212
6 0.235
5 0.153
27 4.26
27 6.352
27 6.754
27 6.096
27 4.893
27 5.435
14 1.062
14 1.169
14 0.572
14 0.64
14 1.462
14 0.611
13 2.924
13 1.573
13 1.208
13 1.607
13 0.741
