stock price.x
10 2.062
10 2.052
10 1.847
10 1.573
10 1.004
10 1.723
11 13.948
11 1.801
11 1.622
11 1.458
11 1.317
11 0.923
9 3.666
9 3.203
9 2.677
9 2.312
9 1.708
9 2.069
8 1.246
8 5.367
8 4.201
8 3.005
8 2.785
8 1.789
8 1.429
28 4.477
28 3.948
19 0.968
19 0.525
19 1.671
18 0.917
18 0.538
18 1.979
18 0.72
21 0.879
21 1.044
21 0.901
21 1.499
21 1.333
21 0.879
12 3.168
12 2.981
12 1.825
12 1.277
12 0.471
4 0.173
4 0.84
4 0.758
4 0.609
4 0.521
4 0.304
4 0.18
4 0.262
3 0.2
3 0.73
3 0.719
3 0.429
3 0.365
3 0.161
3 1.092
2 1.031
2 0.702
2 0.455
2 0.825
20 5.332
20 4.788
20 2.902
20 4.014
17 2.708
17 2.33
17 2.545
30 0.29
30 0.231
30 0.178
29 0.34
1 12.778
1 11.342
1 7.944
1 7.053
1 7.897
0 6.293
24 1.621
24 1.416
24 1.305
24 0.807
24 1.025
24 2.189
23 3.286
23 3.214
23 2.874
23 2.066
23 1.522
23 1.711
22 1.58
22 1.366
22 1.308
22 1.004
22 1.282
15 1.949
15 1.937
15 1.877
15 1.104
16 0.245
26 13.925
26 14.88
26 8.854
26 7.889
26 11.884
25 7.188
25 13.043
25 10.425
25 7.087
25 11.887
25 11.621
7 0.24
7 0.205
7 0.265
7 0.222
6 0.205
6 1.38
6 0.257
5 0.158
27 4.136
27 7.392
27 5.971
27 5.438
27 4.711
27 10.278
27 4.77
14 0.616
14 0.877
14 0.788
14 0.912
14 0.794
13 1.135
13 3.728
13 2.381
13 2.371
13 0.684
