stock price.x
10 2.749
10 2.643
10 2.288
10 1.81
10 1.278
10 2.135
11 1.843
11 1.689
11 1.82
11 1.601
11 1.359
11 0.96
11 3.725
9 3.775
9 3.628
9 3.299
9 3.004
9 1.799
9 0.958
8 1.143
8 4.581
8 3.923
8 3.507
8 3.116
8 2.015
8 1.751
28 3.443
28 3.415
19 0.931
19 0.534
19 1.212
19 1.407
18 1.137
18 0.736
18 0.807
21 0.997
21 1.064
21 1.126
21 1.721
21 1.793
21 1.494
21 0.931
12 0.511
12 2.279
12 1.73
12 1.162
12 0.917
12 0.774
4 0.195
4 0.812
4 0.71
4 0.588
4 0.467
4 0.182
3 0.299
3 0.655
3 0.662
3 0.538
3 0.609
3 0.224
3 0.998
2 0.759
2 0.991
2 0.487
2 0.422
2 0.122
2 0.717
20 7.971
20 6.195
20 3.183
17 0.919
17 1.112
17 0.114
17 1.965
30 0.286
30 0.183
29 0.373
1 8.362
1 12.525
1 8.179
1 7.245
0 7.701
24 3.286
24 1.212
24 1.415
24 1.253
24 0.797
24 1.537
24 1.938
23 1.492
23 1.851
23 1.895
23 1.779
23 1.076
23 1.465
22 1.563
22 1.617
22 1.48
22 1.134
22 1.078
15 1.589
15 1.655
15 1.662
15 1.146
15 0.867
26 15.485
26 13.729
26 6.4
26 6.511
26 13.594
25 15.365
25 11.013
25 6.689
25 4.155
25 5.45
7 0.177
7 0.287
7 0.254
7 0.319
6 0.278
6 0.401
6 0.671
6 0.307
5 0.314
27 4.302
27 7.577
27 5.346
27 4.64
27 3.87
27 4.227
14 0.58
14 0.877
14 0.596
14 0.551
14 0.613
13 1.203
13 1.683
13 1.033
13 1.428
